Date,Close,Predictions
2020-10-02,77.88999938964844,77.707245
2020-10-05,75.69999694824219,78.71308
2020-10-06,75.11000061035156,78.20728
2020-10-07,75.76000213623047,77.564705
2020-10-08,77.70999908447266,77.45549
2020-10-09,78.08999633789062,78.305336
2020-10-12,78.3499984741211,78.98346
2020-10-13,77.8499984741211,79.49028
2020-10-14,78.2699966430664,79.524796
2020-10-15,78.81999969482422,79.713844
2020-10-16,77.08999633789062,80.06319
2020-10-19,75.79000091552734,79.42775
2020-10-20,76.5199966430664,78.4192
2020-10-21,73.11000061035156,78.1721
2020-10-22,70.58999633789062,76.432556
2020-10-23,73.05999755859375,74.24469
2020-10-26,70.83999633789062,74.18636
2020-10-27,69.0999984741211,73.187584
2020-10-28,68.87999725341797,71.85008
2020-10-29,68.02999877929688,71.02858
2020-10-30,66.80999755859375,70.21875
2020-11-02,69.18000030517578,69.237495
2020-11-03,69.45999908447266,69.84777
2020-11-04,74.75,70.405495
2020-11-05,72.91000366210938,73.27055
2020-11-06,70.61000061035156,74.094
2020-11-09,64.94999694824219,73.43084
2020-11-10,70.87999725341797,70.287056
2020-11-11,72.8499984741211,71.203804
2020-11-12,71.41999816894531,72.71028
2020-11-13,73.2699966430664,72.9418
2020-11-16,74.12999725341797,73.93746
2020-11-17,73.47000122070312,74.9074
2020-11-18,74.54000091552734,75.12749
2020-11-19,75.0999984741211,75.71608
2020-11-20,75.0,76.28586
2020-11-23,77.27999877929688,76.531456
2020-11-24,74.29000091552734,77.717186
2020-11-25,76.05999755859375,76.9608
2020-11-27,75.9800033569336,77.31131
2020-11-30,74.5,77.45813
2020-12-01,72.08999633789062,76.82653
2020-12-02,69.2699966430664,75.29864
2020-12-03,72.33999633789062,73.06951
2020-12-04,71.2699966430664,73.25097
2020-12-07,73.80000305175781,72.92855
2020-12-08,70.83000183105469,73.99962
2020-12-09,69.91000366210938,73.27211
2020-12-10,69.97000122070312,72.41969
2020-12-11,69.91000366210938,71.962105
2020-12-14,70.4000015258789,71.693794
2020-12-15,70.94999694824219,71.798706
2020-12-16,71.18000030517578,72.148186
2020-12-17,73.47000122070312,72.47988
2020-12-18,73.2300033569336,73.76189
2020-12-21,72.51000213623047,74.39476
2020-12-22,72.31999969482422,74.39253
2020-12-23,70.75,74.25814
2020-12-24,71.8499984741211,73.403244
2020-12-28,70.4000015258789,73.40195
2020-12-29,69.98999786376953,72.718765
2020-12-30,70.12000274658203,72.132095
2020-12-31,68.91999816894531,71.86979
2021-01-04,67.33999633789062,71.17769
