,Close,Predictions
2021-05-20 00:00:00,127.30999755859375,124.35844421386719
2021-05-21 00:00:00,125.43000030517578,124.55120849609375
2021-05-24 00:00:00,127.0999984741211,124.36528015136719
2021-05-25 00:00:00,126.9000015258789,124.51356506347656
2021-05-26 00:00:00,126.8499984741211,124.58747863769531
2021-05-27 00:00:00,125.27999877929688,124.63704681396484
2021-05-28 00:00:00,124.61000061035156,124.40325927734375
2021-06-01 00:00:00,124.27999877929688,124.10546112060547
2021-06-02 00:00:00,125.05999755859375,123.81018829345703
2021-06-03 00:00:00,123.54000091552734,123.70783996582031
2021-06-04 00:00:00,125.88999938964844,123.35700988769531
2021-06-07 00:00:00,125.9000015258789,123.48981475830078
2021-06-08 00:00:00,126.73999786376953,123.58584594726562
2021-06-09 00:00:00,127.12999725341797,123.80863189697266
2021-06-10 00:00:00,126.11000061035156,124.05078125
2021-06-11 00:00:00,127.3499984741211,124.06635284423828
2021-06-14 00:00:00,130.47999572753906,124.29798126220703
2021-06-15 00:00:00,129.63999938964844,125.0174560546875
2021-06-16 00:00:00,130.14999389648438,125.4316177368164
2021-06-17 00:00:00,131.7899932861328,125.85556030273438
2021-06-18 00:00:00,130.4600067138672,126.47454071044922
2021-06-21 00:00:00,132.3000030517578,126.73060607910156
2021-06-22 00:00:00,133.97999572753906,127.25845336914062
2021-06-23 00:00:00,133.6999969482422,127.95893096923828
2021-06-24 00:00:00,133.41000366210938,128.46087646484375
2021-06-25 00:00:00,133.11000061035156,128.81361389160156
2021-06-28 00:00:00,134.77999877929688,129.0453643798828
2021-06-29 00:00:00,136.3300018310547,129.5186767578125
2021-06-30 00:00:00,136.9600067138672,130.15321350097656
2021-07-01 00:00:00,137.27000427246094,130.75991821289062
2021-07-02 00:00:00,139.9600067138672,131.2948455810547
2021-07-06 00:00:00,142.02000427246094,132.18087768554688
2021-07-07 00:00:00,144.57000732421875,133.22396850585938
2021-07-08 00:00:00,143.24000549316406,134.47776794433594
2021-07-09 00:00:00,145.11000061035156,135.2351837158203
2021-07-12 00:00:00,144.5,136.16387939453125
2021-07-13 00:00:00,145.63999938964844,136.78707885742188
2021-07-14 00:00:00,149.14999389648438,137.4781951904297
2021-07-15 00:00:00,148.47999572753906,138.61279296875
2021-07-16 00:00:00,146.38999938964844,139.37786865234375
2021-07-19 00:00:00,142.4499969482422,139.63768005371094
2021-07-20 00:00:00,146.14999389648438,139.1937713623047
2021-07-21 00:00:00,145.39999389648438,139.49147033691406
2021-07-22 00:00:00,146.8000030517578,139.57733154296875
2021-07-23 00:00:00,148.55999755859375,139.88735961914062
2021-07-26 00:00:00,148.99000549316406,140.42376708984375
2021-07-27 00:00:00,146.77000427246094,140.91314697265625
2021-07-28 00:00:00,144.97999572753906,140.9287872314453
2021-07-29 00:00:00,145.63999938964844,140.65806579589844
2021-07-30 00:00:00,145.86000061035156,140.56797790527344
2021-08-02 00:00:00,145.52000427246094,140.52980041503906
2021-08-03 00:00:00,147.36000061035156,140.4416961669922
2021-08-04 00:00:00,146.9499969482422,140.68528747558594
2021-08-05 00:00:00,147.05999755859375,140.7991485595703
2021-08-06 00:00:00,146.13999938964844,140.9125518798828
2021-08-09 00:00:00,146.08999633789062,140.8490447998047
2021-08-10 00:00:00,145.60000610351562,140.79733276367188
2021-08-11 00:00:00,145.86000061035156,140.67457580566406
2021-08-12 00:00:00,148.88999938964844,140.62425231933594
2021-08-13 00:00:00,149.10000610351562,141.0918731689453
2021-08-16 00:00:00,151.1199951171875,141.47776794433594
2021-08-17 00:00:00,150.19000244140625,142.1216583251953
2021-08-18 00:00:00,146.36000061035156,142.46331787109375
2021-08-19 00:00:00,146.6999969482422,142.09861755371094
2021-08-20 00:00:00,148.19000244140625,141.89231872558594
2021-08-23 00:00:00,149.7100067138672,141.97470092773438
2021-08-24 00:00:00,149.6199951171875,142.28260803222656
2021-08-25 00:00:00,148.36000061035156,142.50094604492188
2021-08-26 00:00:00,147.5399932861328,142.46441650390625
2021-08-27 00:00:00,148.60000610351562,142.3076934814453
2021-08-30 00:00:00,153.1199951171875,142.36695861816406
2021-08-31 00:00:00,151.8300018310547,143.16250610351562
2021-09-01 00:00:00,152.50999450683594,143.54586791992188
2021-09-02 00:00:00,153.64999389648438,143.97280883789062
2021-09-03 00:00:00,154.3000030517578,144.49758911132812
2021-09-07 00:00:00,156.69000244140625,145.0126953125
2021-09-08 00:00:00,155.11000061035156,145.81243896484375
2021-09-09 00:00:00,154.07000732421875,146.16465759277344
2021-09-10 00:00:00,148.97000122070312,146.281005859375
2021-09-13 00:00:00,149.5500030517578,145.5317840576172
